,STOCK,TECH,INTL,GOLD,BOND,LONGT,CASH,REIT
1980-01-15,4.648372650146484,1.7025576012215011,1.6706661041775988,684.0,0.6005047266293678,1.0,1.0,1.00555069800454
1980-01-16,4.645291328430176,1.701429355812806,1.6824174289318534,760.0,0.6005047266293678,0.9993645671528864,1.000555773325655,1.0111322062574173
1980-01-17,4.62987756729126,1.6957842864475043,1.6833969065429493,750.0,0.6005047266293678,0.9941852001066954,1.000307795625137,1.0167446957770163
1980-01-18,4.645291328430176,1.701429355812806,1.6804589112694608,835.0,0.6005047266293678,0.9819368032072316,1.0000163456559816,1.0223883385309924
1980-01-21,4.688443660736084,1.7172347466410864,1.6814386076604564,850.0,0.6005047266293678,0.9688163659596936,1.0002380634240042,1.0280633074415413
1980-01-22,4.666867733001709,1.7093326625054184,1.6608730783058372,737.5,0.6005047266293678,0.9760284242308612,1.0008977440471258,1.0337697763906977
1980-01-23,4.74701452255249,1.738686778693597,1.6608730783058372,695.0,0.6005047266293678,0.9771824478921436,1.0018866089679763,1.0395079202256632
1980-01-24,4.756261348724365,1.7420737853825792,1.6736040994510872,717.0,0.6005047266293678,0.9610962067860426,1.0015027453760732,1.045277914764163
1980-01-25,4.753178596496582,1.740944841369916,1.668707695905156,668.0,0.6005047266293678,0.9504760688000444,1.0012650712685474,1.0510799367998342
1980-01-28,4.808663368225098,1.7612672308057946,1.6696864077866032,624.0,0.6005047266293678,0.9488378600601556,1.0027790838134871,1.056914164107641
1980-01-29,4.774752616882324,1.7488472748075683,1.689272787699976,674.25,0.6005047266293678,0.941738765657774,1.0027302720611586,1.0627807754493233
1980-01-30,4.824074745178223,1.7669107283121677,1.6941688630760576,691.0,0.6005047266293678,0.9428351014563048,1.0036760854176423,1.068679950578873
1980-01-31,4.78092098236084,1.751106210738847,1.687314051257684,653.0,0.6052938326843497,0.9447504786897802,1.004619593354081,1.074611870248043
1980-02-01,4.824074745178223,1.7669107283121677,1.687314051257684,676.5,0.6052938326843497,0.9336987766632484,1.0041394310147902,1.0751875256178038
1980-02-04,4.799417018890381,1.7578800494658202,1.687314051257684,669.75,0.6052938326843497,0.9273948125556776,1.0060273315732773,1.0757634893585348
1980-02-05,4.814825534820557,1.7635244202271536,1.6853555335952917,682.0,0.6052938326843497,0.9030378916632964,1.0052142993214224,1.076339761635426
1980-02-06,4.861063957214356,1.780460152276034,1.697106858349546,709.0,0.6052938326843497,0.8929350789880218,1.006303762469139,1.076916342613756
1980-02-07,4.885725021362305,1.7894922283303176,1.7108179040556413,699.25,0.6052938326843497,0.8991223726265204,1.0072955295291022,1.0774932324588922
1980-02-08,4.9597015380859375,1.816589679050114,1.7196304678067584,692.0,0.6052938326843497,0.897921642815901,1.0069064980482234,1.0780704313362903
1980-02-11,4.9257988929748535,1.8041697230518872,1.7343196784445514,710.5,0.6052938326843497,0.8827376481937853,1.0071771498278688,1.0786479394114954
1980-02-12,4.956619739532471,1.8154614336414188,1.725506567743685,694.5,0.6052938326843497,0.8827376481937853,1.0071771498278688,1.07922575685014
1980-02-13,4.981280326843262,1.824491064581813,1.7284443442372737,696.75,0.6052938326843497,0.8919813207091818,1.0080303696262394,1.0798038838179462
1980-02-14,4.9103827476501465,1.798525526941546,1.7343196784445514,682.0,0.6052938326843497,0.8864558107893948,1.0081237422529052,1.0803823204807248
1980-02-15,4.857981204986572,1.7793315575653543,1.7274649760161278,667.0,0.6052938326843497,0.8718196871536803,1.0057556872009688,1.0809610670043752
1980-02-18,4.857981204986572,1.7793315575653543,1.7274649760161278,661.5,0.6052938326843497,0.8718196871536803,1.0057556872009688,1.0815401235548858
1980-02-19,4.824074745178223,1.7669107283121677,1.70885829249375,652.25,0.6052938326843497,0.8392717018803739,1.0043166862864137,1.082119490298334
1980-02-20,4.904219627380371,1.796267988218203,1.7078793618324035,606.0,0.6052938326843497,0.8428115798211567,1.0051507309361467,1.082699167400886
1980-02-21,4.854897499084473,1.7782024389016993,1.7196304678067584,665.0,0.6052938326843497,0.829575204442925,1.004946317611798,1.0832791550287968
1980-02-22,4.842571258544922,1.773685964247077,1.7029829582864724,630.0,0.6052938326843497,0.8414170171972306,1.005498683898756,1.083859453348411
1980-02-25,4.78092098236084,1.751106210738847,1.6794792148784652,616.5,0.6052938326843497,0.8358088524760625,1.005317235199262,1.084440062526162
1980-02-26,4.808663368225098,1.7612672308057946,1.674583577062183,642.25,0.6052938326843497,0.8259360486888844,1.0047474793689115,1.0850209827285722
1980-02-27,4.743929862976074,1.7375580093319256,1.687314051257684,636.0,0.6052938326843497,0.831905367175172,1.0051702120847068,1.0856022141222537
1980-02-28,4.7408447265625,1.7364283667152938,1.697106858349546,646.0,0.6052938326843497,0.8631171198930905,1.0068165947266263,1.0861837568739074
1980-02-29,4.799417018890381,1.7578800494658202,1.6882930913089804,637.0,0.6038489907550162,0.8661417316964874,1.005115406331085,1.086765611150324
1980-03-03,4.750095844268799,1.7398164213102287,1.689272787699976,633.75,0.6038489907550162,0.8622146699261083,1.0016281334795805,1.080052483851914
1980-03-04,4.765506267547607,1.7454593948636252,1.6755627265034296,631.25,0.6038489907550162,0.8604639955414668,1.001335953328414,1.0733808246287375
1980-03-05,4.69769287109375,1.720622626585029,1.6667486312930144,643.5,0.6038489907550162,0.8573748106392323,1.0007232290753143,1.0667503773257745
1980-03-06,4.592884063720703,1.6822353864366144,1.6501011217727286,626.0,0.6038489907550162,0.8417940023471121,0.9996081434164444,1.060160887370314
1980-03-07,4.521993637084961,1.6562688008903943,1.6256191040430736,609.0,0.6038489907550162,0.8512608329269226,1.0003571319366829,1.0536121017621836
1980-03-10,4.5096611976623535,1.6517530248397403,1.5844890298433838,585.0,0.6038489907550162,0.8690031140151077,1.0033452195998136,1.0471037690640332
1980-03-11,4.5620622634887695,1.6709455970079956,1.5766547404139144,570.25,0.6038489907550162,0.8783378244071145,1.0032001852892911,1.0406356393916825
1980-03-12,4.525074481964111,1.6573966969971057,1.5766547404139144,585.7,0.6038489907550162,0.8600038522572334,1.0025937350235348,1.0342074644045256
1980-03-13,4.472671985626221,1.6382042994798425,1.5541308027868523,556.5,0.6038489907550162,0.8739956839893692,1.0052538350813134,1.0278189972959977
1980-03-14,4.463424205780029,1.6348167688378836,1.528669526226001,523.0,0.6038489907550162,0.8728920486357852,1.00505762836244,1.0214699927840964
1980-03-17,4.33087682723999,1.586269381877482,1.4865596462453654,484.0,0.6038489907550162,0.8744486796811658,1.009016291384908,1.0151602071019683
1980-03-18,4.407941818237305,1.6144952526569654,1.474808540271011,481.5,0.6038489907550162,0.888868416255494,1.0096513719583506,1.0088893979885456
1980-03-19,4.4171881675720215,1.6178820846949555,1.5032080308852502,527.0,0.6038489907550162,0.8913153758013842,1.01141635604738,1.0026573246792472
1980-03-20,4.364787578582764,1.5986888139227324,1.5198556497954856,561.0,0.6038489907550162,0.873887547210903,1.0085622730298571,0.9964637478967334
1980-03-21,4.333960056304932,1.5873985005411375,1.5090825993628787,525.0,0.6038489907550162,0.8700251620353753,1.008362378769122,0.9903084298417196
1980-03-24,4.207579135894775,1.5411086523040782,1.5012494038329078,558.25,0.6038489907550162,0.8434810552143597,1.005958968285534,0.9841911341838464
1980-03-25,4.204498291015625,1.539979533640423,1.4865596462453654,547.25,0.6038489907550162,0.8450677077595659,1.0060664908491916,0.9781116260526042
1980-03-26,4.182919502258301,1.5320767509007864,1.4757879084921568,507.5,0.6038489907550162,0.8525659122268376,1.0068281337400402,0.9720696720283176
1980-03-27,4.270260334014893,1.5640653026531692,1.44934704493026,485.25,0.6038489907550162,0.856839233293289,1.0110530646050628,0.966065040133182
1980-03-28,4.270260334014893,1.5640653026531692,1.4610981509046146,490.0,0.6038489907550162,0.867249096733117,1.0132083148164446,0.9600974998223574
1980-03-31,4.329525470733643,1.585773198409045,1.4640363649580026,494.5,0.6093128320541109,0.8708548706661624,1.016831892507704,0.9541668219751164
1980-04-01,4.332643985748291,1.586916289152065,1.4601190014633685,509.5,0.6093128320541109,0.8684006838082572,1.013487298264785,0.9539992597154254
