,CSCO,META,NFLX,NVDA,AMZN,GOOGL,MSFT,AAPL,QQQ,^N225,CSCO_TR
1965-01-05,,,,,,,,,,1257.719970703125,
1965-01-06,,,,,,,,,,1263.989990234375,
1965-01-07,,,,,,,,,,1274.27001953125,
1965-01-08,,,,,,,,,,1286.4300537109375,
1965-01-12,,,,,,,,,,1288.5400390625,
1965-01-13,,,,,,,,,,1281.6700439453125,
1965-01-14,,,,,,,,,,1289.5,
1965-01-18,,,,,,,,,,1271.6800537109375,
1965-01-19,,,,,,,,,,1270.3399658203125,
1965-01-20,,,,,,,,,,1268.8800048828125,
1965-01-21,,,,,,,,,,1270.4599609375,
1965-01-22,,,,,,,,,,1261.8299560546875,
1965-01-25,,,,,,,,,,1249.719970703125,
1965-01-26,,,,,,,,,,1248.050048828125,
1965-01-27,,,,,,,,,,1258.2099609375,
1965-01-28,,,,,,,,,,1247.199951171875,
1965-01-29,,,,,,,,,,1242.27001953125,
1965-02-01,,,,,,,,,,1242.8299560546875,
1965-02-02,,,,,,,,,,1238.75,
1965-02-03,,,,,,,,,,1248.030029296875,
1965-02-04,,,,,,,,,,1261.5999755859375,
1965-02-05,,,,,,,,,,1263.5899658203125,
1965-02-08,,,,,,,,,,1258.9300537109375,
1965-02-09,,,,,,,,,,1251.6800537109375,
1965-02-10,,,,,,,,,,1248.6099853515625,
1965-02-12,,,,,,,,,,1257.93994140625,
1965-02-15,,,,,,,,,,1249.5,
1965-02-16,,,,,,,,,,1247.010009765625,
1965-02-17,,,,,,,,,,1237.0799560546875,
1965-02-18,,,,,,,,,,1241.4100341796875,
1965-02-19,,,,,,,,,,1237.3499755859375,
1965-02-22,,,,,,,,,,1224.8199462890625,
1965-02-23,,,,,,,,,,1223.5899658203125,
1965-02-24,,,,,,,,,,1219.0999755859375,
1965-02-25,,,,,,,,,,1216.7099609375,
1965-02-26,,,,,,,,,,1213.0699462890625,
1965-03-01,,,,,,,,,,1206.47998046875,
1965-03-02,,,,,,,,,,1202.5400390625,
1965-03-03,,,,,,,,,,1207.8199462890625,
1965-03-04,,,,,,,,,,1213.030029296875,
1965-03-05,,,,,,,,,,1209.6400146484375,
1965-03-08,,,,,,,,,,1190.97998046875,
1965-03-09,,,,,,,,,,1178.4300537109375,
1965-03-10,,,,,,,,,,1173.3399658203125,
